ID,SekolahPerikanan,NamaProvinsi,TahunAjaran,JumlahPendaftar,JumlahKapasitas,Persentase
1,SUPM Ladong,Aceh,2003/2004,93,105,112.9032258
2,SUPM Pariaman,Sumatera Barat,2003/2004,209,106,50.71770335
3,SUPM Kota Agung,Lampung,2003/2004,199,85,42.71356784
4,Sekolah Tinggi Perikanan,DKI Jakarta,2003/2004,1096,253,23.08394161
5,SUPM Tegal,Jawa Tengah,2003/2004,462,154,33.33333333
6,Akademi Perikanan Sidoarjo ,Jawa Timur,2003/2004,200,86,43
7,SUPM Pontianak,Kalimantan Barat,2003/2004,150,96,64
8,Akademi Perikanan Bitung ,Sulawesi Utara,2003/2004,126,86,68.25396825
9,SUPM Bone,Sulawesi Selatan,2003/2004,155,98,63.22580645
10,SUPM Negeri Kupang,Nusa Tenggara Timur,2003/2004,0,0,0
11,SUPM Waeheru,Maluku,2003/2004,149,105,70.46979866
12,Akademi Perikanan Sorong ,Papua Barat,2003/2004,167,140,83.83233533
13,SUPM Sorong,Papua Barat,2003/2004,86,135,156.9767442
14,SUPM Ladong,Aceh,2004/2005,83,110,132.5301205
15,SUPM Pariaman,Sumatera Barat,2004/2005,138,115,83.33333333
16,SUPM Kota Agung,Lampung,2004/2005,302,69,22.84768212
17,Sekolah Tinggi Perikanan,DKI Jakarta,2004/2005,1001,252,25.17482517
18,SUPM Tegal,Jawa Tengah,2004/2005,312,154,49.35897436
19,Akademi Perikanan Sidoarjo ,Jawa Timur,2004/2005,211,77,36.492891
20,SUPM Pontianak,Kalimantan Barat,2004/2005,100,75,75
21,Akademi Perikanan Bitung ,Sulawesi Utara,2004/2005,180,77,42.77777778
22,SUPM Bone,Sulawesi Selatan,2004/2005,117,82,70.08547009
23,SUPM Negeri Kupang,Nusa Tenggara Timur,2004/2005,0,0,0
24,SUPM Waeheru,Maluku,2004/2005,77,64,83.11688312
25,Akademi Perikanan Sorong ,Papua Barat,2004/2005,167,138,82.63473054
26,SUPM Sorong,Papua Barat,2004/2005,126,135,107.1428571
27,SUPM Ladong,Aceh,2005/2006,53,120,226.4150943
28,SUPM Pariaman,Sumatera Barat,2005/2006,153,123,80.39215686
29,SUPM Kota Agung,Lampung,2005/2006,250,83,33.2
30,Sekolah Tinggi Perikanan,DKI Jakarta,2005/2006,1084,255,23.52398524
31,SUPM Tegal,Jawa Tengah,2005/2006,228,149,65.35087719
32,Akademi Perikanan Sidoarjo ,Jawa Timur,2005/2006,396,100,25.25252525
33,SUPM Pontianak,Kalimantan Barat,2005/2006,125,92,73.6
34,Akademi Perikanan Bitung ,Sulawesi Utara,2005/2006,150,100,66.66666667
35,SUPM Bone,Sulawesi Selatan,2005/2006,162,121,74.69135802
36,SUPM Negeri Kupang,Nusa Tenggara Timur,2005/2006,0,0,0
37,SUPM Waeheru,Maluku,2005/2006,137,92,67.15328467
38,Akademi Perikanan Sorong ,Papua Barat,2005/2006,157,133,84.7133758
39,SUPM Sorong,Papua Barat,2005/2006,173,135,78.03468208
40,SUPM Ladong,Aceh,2006/2007,210,158,75.23809524
41,SUPM Pariaman,Sumatera Barat,2006/2007,204,120,58.82352941
42,SUPM Kota Agung,Lampung,2006/2007,150,96,64
43,Sekolah Tinggi Perikanan,DKI Jakarta,2006/2007,1348,355,26.33531157
44,SUPM Tegal,Jawa Tengah,2006/2007,281,168,59.78647687
45,Akademi Perikanan Sidoarjo ,Jawa Timur,2006/2007,383,104,27.154047
46,SUPM Pontianak,Kalimantan Barat,2006/2007,140,104,74.28571429
